reference,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,2,Left-Cerebral-White-Matter,,1.0,,,0.0,0.0,,1.0,,,0,0,1.0
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,3,Left-Cerebral-Cortex,0.2640712533884084,0.9802616855873233,0.7030206603412034,0.7622713074520303,0.011492202090421413,0.008509918655664861,0.1521210210406715,0.9885077979095785,0.29697933965879664,0.23772869254796966,107568,86107,0.9914900813443351
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,4,Left-Lateral-Ventricle,0.015211119853134015,0.9989599824512618,0.9859903381642512,0.9833620195065979,0.00047499671603787335,0.0005655661910571874,0.00766384778012685,0.9995250032839621,0.014009661835748793,0.01663798049340218,3486,4140,0.9994344338089428
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,8,Left-Cerebellum-Cortex,0.07854718262050238,0.9962407035448673,0.9144989654153118,0.9273606228026118,0.002049392993409643,0.0017175324603225794,0.040879058757022226,0.9979506070065903,0.08550103458468815,0.07263937719738825,15928,13532,0.9982824675396774
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,10,Left-Thalamus-Proper*,0.0028155795401220087,0.9982343244012767,0.9972447573855809,0.9971213817367663,0.0008642318752833703,0.0009030075626710321,0.0014097744360902255,0.9991357681247166,0.002755242614419103,0.002878618263233648,6253,6533,0.999096992437329
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,11,Left-Caudate,0.0,0.9995436940315456,1.0,1.0,0.00023367515192347754,0.00022273488799884333,0.0,0.9997663248480765,0.0,0.0,1687,1608,0.9997772651120012
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,12,Left-Putamen,0.004313000616142945,0.9995524185462688,0.9931707317073171,0.9968482665466006,0.00030664790214192313,0.00014102045336827906,0.00216116085211485,0.999693352097858,0.006829268292682927,0.0031517334533993696,2221,1025,0.9998589795466317
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,13,Left-Pallidum,0.0,0.9998468362970833,1.0,1.0,8.392733388620118e-05,6.924799173901874e-05,0.0,0.9999160726661138,0.0,0.0,606,500,0.999930752008261
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,14,3rd-Ventricle,0.8586278586278586,0.999981166126947,0.1656565656565656,0.11563169164882225,7.4786681378407175e-06,1.1356452022770469e-05,0.7522768670309654,0.9999925213318621,0.8343434343434344,0.8843683083511777,467,495,0.9999886435479772
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,15,4th-Ventricle,0.8275862068965517,0.9999792273458974,0.14691943127962082,0.1964285714285714,1.2187335972999511e-05,8.586563081336429e-06,0.7058823529411765,0.999987812664027,0.8530805687203792,0.8035714285714286,448,422,0.9999914134369187
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,16,Brain-Stem,0.9430636571138726,0.9998756410441056,0.03490786400207635,0.07798165137614677,8.719971896459415e-05,3.729395092111343e-05,0.892261547690462,0.9999128002810354,0.9650921359979237,0.9220183486238532,8066,7706,0.9999627060490789
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,17,Left-Hippocampus,0.03362690152121697,0.9996656987533084,0.9579579579579579,0.9719813208805871,0.0002017996316637334,0.00013255705043524468,0.01710097719869707,0.9997982003683362,0.042042042042042045,0.028018679119412943,1499,999,0.9998674429495648
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,18,Left-Amygdala,0.0,0.9998907358394202,1.0,1.0,5.692005184017957e-05,5.2350067951234536e-05,0.0,0.9999430799481598,0.0,0.0,411,378,0.9999476499320488
