segment_name,Dice
Cerebral-White-Matter,0.8991536136460949
Cerebral-Cortex,0.8865924825334079
Lateral-Ventricle,0.8348901793001597
Cerebellum-Cortex,0.8872697244413836
Thalamus-Proper*,0.8654384000856423
Caudate,0.8089061665388708
Putamen,0.8266685742195772
Pallidum,0.7832953183073706
3rd-Ventricle,0.9038757662686652
4th-Ventricle,0.8723424688754458
Brain-Stem,0.9214453721784556
Hippocampus,0.8494655904643083
Amygdala,0.8177286251045903
Accumbens-area,0.6209339226518965
VentralDC,0.8076935991455447
