segment_name,Dice
Cerebral-White-Matter,0.8569272769753329
Cerebral-Cortex,0.8397469274483849
Lateral-Ventricle,0.8038140272934797
Cerebellum-Cortex,0.8678992501253581
Thalamus-Proper*,0.8496686503956972
Caudate,0.7847380414558429
Putamen,0.7906269525966562
Pallidum,0.7536450702975441
3rd-Ventricle,0.8769779276317535
4th-Ventricle,0.8472866893067705
Brain-Stem,0.9078272367621212
Hippocampus,0.7973869532268174
Amygdala,0.7941830548737976
Accumbens-area,0.5994838698375999
VentralDC,0.7839104355039526
